Nama;AgeGroup;Laki_laki;Perempuan;Total;Laki_persen;Perempuan_persen
SULAWESI TENGGARA;55-59;50.907;49.918;100.825; 0,04 ;-0,04 
SULAWESI TENGGARA;60-64;37.729;37.246;74.975; 0,03 ;-0,03 
SULAWESI TENGGARA;65-69;26.823;27.047;53.870; 0,02 ;-0,02 
SULAWESI TENGGARA;70-74;16.880;17.914;34.794; 0,01 ;-0,01 
SULAWESI TENGGARA;75-79;9.341;10.629;19.970; 0,01 ;-0,01 
SULAWESI TENGGARA;80-84;4.197;5.220;9.417; 0,00 ;-0,00 
SULAWESI TENGGARA;85-89;1.344;1.888;3.232; 0,00 ;-0,00 
SULAWESI TENGGARA;90-94;266;440;706; 0,00 ;-0,00 
SULAWESI TENGGARA;95+;30;61;91; 0,00 ;-0,00 
GORONTALO;0-4;49.090;47.217;96.307; 0,08 ;-0,08 
GORONTALO;05-9;47.402;45.755;93.157; 0,08 ;-0,08 
GORONTALO;10-14;53.916;51.281;105.197; 0,09 ;-0,09 
GORONTALO;15-19;54.595;51.985;106.580; 0,09 ;-0,09 
GORONTALO;20-24;54.526;52.236;106.762; 0,09 ;-0,09 
GORONTALO;25-29;52.064;50.108;102.172; 0,09 ;-0,09 
GORONTALO;30-34;48.081;46.522;94.603; 0,08 ;-0,08 
GORONTALO;35-39;44.701;43.520;88.221; 0,08 ;-0,07 
GORONTALO;40-44;42.004;41.191;83.195; 0,07 ;-0,07 
GORONTALO;45-49;37.407;36.996;74.403; 0,06 ;-0,06 
GORONTALO;50-54;32.285;32.298;64.583; 0,05 ;-0,06 
GORONTALO;55-59;26.236;26.653;52.889; 0,04 ;-0,05 
GORONTALO;60-64;19.287;20.139;39.426; 0,03 ;-0,03 
GORONTALO;65-69;13.399;14.564;27.963; 0,02 ;-0,03 
GORONTALO;70-74;8.570;9.826;18.396; 0,01 ;-0,02 
GORONTALO;75-79;4.790;5.883;10.673; 0,01 ;-0,01 
GORONTALO;80-84;2.160;2.876;5.036; 0,00 ;-0,00 
GORONTALO;85-89;687;1.020;1.707; 0,00 ;-0,00 
GORONTALO;90-94;134;232;366; 0,00 ;-0,00 
GORONTALO;95+;15;30;45; 0,00 ;-0,00 
SULAWESI BARAT;0-4;70.133;68.261;138.394; 0,10 ;-0,10 
SULAWESI BARAT;05-9;67.739;66.123;133.862; 0,09 ;-0,09 
SULAWESI BARAT;10-14;71.331;66.546;137.877; 0,10 ;-0,10 
SULAWESI BARAT;15-19;69.855;65.138;134.993; 0,10 ;-0,09 
SULAWESI BARAT;20-24;67.596;64.131;131.727; 0,09 ;-0,09 
SULAWESI BARAT;25-29;63.083;60.447;123.530; 0,09 ;-0,09 
SULAWESI BARAT;30-34;57.050;55.410;112.460; 0,08 ;-0,08 
SULAWESI BARAT;35-39;51.817;50.629;102.446; 0,07 ;-0,07 
SULAWESI BARAT;40-44;47.321;46.321;93.642; 0,07 ;-0,07 
SULAWESI BARAT;45-49;41.056;40.311;81.367; 0,06 ;-0,06 
SULAWESI BARAT;50-54;33.914;33.371;67.285; 0,05 ;-0,05 
SULAWESI BARAT;55-59;27.122;26.915;54.037; 0,04 ;-0,04 
SULAWESI BARAT;60-64;19.781;20.009;39.790; 0,03 ;-0,03 
SULAWESI BARAT;65-69;14.170;14.721;28.891; 0,02 ;-0,02 
SULAWESI BARAT;70-74;9.342;10.106;19.448; 0,01 ;-0,01 
SULAWESI BARAT;75-79;5.380;6.151;11.531; 0,01 ;-0,01 
SULAWESI BARAT;80-84;2.499;3.063;5.562; 0,00 ;-0,00 
SULAWESI BARAT;85-89;817;1.103;1.920; 0,00 ;-0,00 
SULAWESI BARAT;90-94;163;253;416; 0,00 ;-0,00 
SULAWESI BARAT;95+;18;33;51; 0,00 ;-0,00 
MALUKU;0-4;81.279;77.805;159.084; 0,09 ;-0,09 
MALUKU;05-9;77.965;74.848;152.813; 0,08 ;-0,08 
MALUKU;10-14;92.900;86.166;179.066; 0,10 ;-0,09 
MALUKU;15-19;93.652;87.085;180.737; 0,10 ;-0,10 
MALUKU;20-24;91.826;86.584;178.410; 0,10 ;-0,09 
MALUKU;25-29;85.599;81.907;167.506; 0,09 ;-0,09 
MALUKU;30-34;76.361;74.884;151.245; 0,08 ;-0,08 
MALUKU;35-39;68.270;67.934;136.204; 0,07 ;-0,07 
MALUKU;40-44;60.311;60.901;121.212; 0,06 ;-0,07 
MALUKU;45-49;52.162;53.060;105.222; 0,06 ;-0,06 
MALUKU;50-54;43.776;44.649;88.425; 0,05 ;-0,05 
MALUKU;55-59;35.893;36.693;72.586; 0,04 ;-0,04 
MALUKU;60-64;28.133;28.751;56.884; 0,03 ;-0,03 
MALUKU;65-69;20.648;21.171;41.819; 0,02 ;-0,02 
MALUKU;70-74;13.961;14.569;28.530; 0,01 ;-0,02 
MALUKU;75-79;8.258;8.906;17.164; 0,01 ;-0,01 
MALUKU;80-84;3.898;4.466;8.364; 0,00 ;-0,00 
MALUKU;85-89;1.290;1.634;2.924; 0,00 ;-0,00 
MALUKU;90-94;264;380;644; 0,00 ;-0,00 
MALUKU;95+;32;52;84; 0,00 ;-0,00 
MALUKU UTARA;0-4;61.854;59.183;121.037; 0,09 ;-0,09 
MALUKU UTARA;05-9;59.678;57.304;116.982; 0,09 ;-0,09 
MALUKU UTARA;10-14;63.001;58.751;121.752; 0,10 ;-0,09 
MALUKU UTARA;15-19;62.777;58.526;121.303; 0,10 ;-0,09 
MALUKU UTARA;20-24;62.810;59.109;121.919; 0,10 ;-0,09 
MALUKU UTARA;25-29;59.517;56.427;115.944; 0,09 ;-0,09 
MALUKU UTARA;30-34;54.728;52.523;107.251; 0,08 ;-0,08 
MALUKU UTARA;35-39;49.573;47.797;97.370; 0,08 ;-0,08 
MALUKU UTARA;40-44;44.334;42.873;87.207; 0,07 ;-0,07 
MALUKU UTARA;45-49;38.053;36.699;74.752; 0,06 ;-0,06 
MALUKU UTARA;50-54;30.948;29.502;60.450; 0,05 ;-0,05 
MALUKU UTARA;55-59;24.721;23.401;48.122; 0,04 ;-0,04 
MALUKU UTARA;60-64;18.579;17.382;35.961; 0,03 ;-0,03 
MALUKU UTARA;65-69;13.089;12.259;25.348; 0,02 ;-0,02 
MALUKU UTARA;70-74;7.623;7.359;14.982; 0,01 ;-0,01 
MALUKU UTARA;75-79;3.753;3.818;7.571; 0,01 ;-0,01 
MALUKU UTARA;80-84;1.704;1.821;3.525; 0,00 ;-0,00 
MALUKU UTARA;85-89;548;633;1.181; 0,00 ;-0,00 
MALUKU UTARA;90-94;109;141;250; 0,00 ;-0,00 
MALUKU UTARA;95+;12;18;30; 0,00 ;-0,00 
PAPUA BARAT;0-4;50.927;48.749;99.676; 0,09 ;-0,09 
PAPUA BARAT;05-9;48.271;46.409;94.680; 0,08 ;-0,09 
PAPUA BARAT;10-14;54.777;50.382;105.159; 0,09 ;-0,09 
PAPUA BARAT;15-19;56.604;51.408;108.012; 0,09 ;-0,10 
PAPUA BARAT;20-24;58.895;53.206;112.101; 0,10 ;-0,10 
PAPUA BARAT;25-29;57.368;51.418;108.786; 0,10 ;-0,10 
PAPUA BARAT;30-34;54.898;48.683;103.581; 0,09 ;-0,09 
PAPUA BARAT;35-39;49.777;43.812;93.589; 0,08 ;-0,08 
PAPUA BARAT;40-44;43.371;37.810;81.181; 0,07 ;-0,07 
PAPUA BARAT;45-49;36.377;31.517;67.894; 0,06 ;-0,06 
PAPUA BARAT;50-54;28.375;24.420;52.795; 0,05 ;-0,05 
PAPUA BARAT;55-59;21.873;18.730;40.603; 0,04 ;-0,03 
PAPUA BARAT;60-64;15.533;13.236;28.769; 0,03 ;-0,02 
PAPUA BARAT;65-69;10.462;8.876;19.338; 0,02 ;-0,02 
PAPUA BARAT;70-74;5.665;4.798;10.463; 0,01 ;-0,01 
PAPUA BARAT;75-79;2.676;2.296;4.972; 0,00 ;-0,00 
PAPUA BARAT;80-84;975;893;1.868; 0,00 ;-0,00 
PAPUA BARAT;85-89;259;249;508; 0,00 ;-0,00 
PAPUA BARAT;90-94;39;42;81; 0,00 ;-0,00 
PAPUA BARAT;95+;6;6;12; 0,00 ;-0,00 
PAPUA;0-4;211.044;200.764;411.808; 0,09 ;-0,10 
PAPUA;05-9;210.341;200.589;410.930; 0,09 ;-0,10 
PAPUA;10-14;180.386;154.915;335.301; 0,08 ;-0,08 
PAPUA;15-19;186.945;157.463;344.408; 0,08 ;-0,08 
PAPUA;20-24;216.937;184.725;401.662; 0,09 ;-0,09 
PAPUA;25-29;216.788;187.429;404.217; 0,09 ;-0,09 
PAPUA;30-34;208.281;186.094;394.375; 0,09 ;-0,09 
PAPUA;35-39;191.350;172.407;363.757; 0,08 ;-0,09 
PAPUA;40-44;169.871;153.869;323.740; 0,07 ;-0,08 
PAPUA;45-49;145.204;129.353;274.557; 0,06 ;-0,06 
PAPUA;50-54;117.857;99.486;217.343; 0,05 ;-0,05 
PAPUA;55-59;91.516;74.283;165.799; 0,04 ;-0,04 
PAPUA;60-64;63.247;47.882;111.129; 0,03 ;-0,02 
PAPUA;65-69;40.922;29.414;70.336; 0,02 ;-0,01 
PAPUA;70-74;24.354;16.852;41.206; 0,01 ;-0,01 
PAPUA;75-79;12.640;8.548;21.188; 0,01 ;-0,00 
PAPUA;80-84;5.270;3.537;8.807; 0,00 ;-0,00 
PAPUA;85-89;1.553;1.060;2.613; 0,00 ;-0,00 
PAPUA;90-94;278;202;480; 0,00 ;-0,00 
PAPUA;95+;29;22;51; 0,00 ;-0,00 
Total;0-4;11.293.711;10.778.786;22.072.497; 0,08 ;-0,08 
Total;05-9;11.295.307;10.799.048;22.094.355; 0,08 ;-0,08 
Total;10-14;11.449.769;10.746.111;22.195.880; 0,08 ;-0,08 
Total;15-19;11.495.696;10.816.894;22.312.590; 0,08 ;-0,08 
Total;20-24;11.632.238;11.050.132;22.682.370; 0,09 ;-0,08 
Total;25-29;11.410.784;10.945.191;22.355.975; 0,08 ;-0,08 
Total;30-34;11.109.053;10.795.496;21.904.549; 0,08 ;-0,08 
Total;35-39;10.556.654;10.354.273;20.910.927; 0,08 ;-0,08 
Total;40-44;10.014.632;9.928.479;19.943.111; 0,07 ;-0,07 
Total;45-49;9.025.557;8.996.940;18.022.497; 0,07 ;-0,07 
Total;50-54;7.872.400;7.873.992;15.746.392; 0,06 ;-0,06 
Total;55-59;6.546.325;6.574.527;13.120.852; 0,05 ;-0,05 
Total;60-64;5.091.717;5.117.776;10.209.493; 0,04 ;-0,04 
Total;65-69;3.681.457;3.772.554;7.454.011; 0,03 ;-0,03 
Total;70-74;2.179.067;2.374.851;4.553.918; 0,02 ;-0,02 
Total;75-79;1.180.035;1.440.697;2.620.732; 0,01 ;-0,01 
Total;80-84;574.872;770.110;1.344.982; 0,00 ;-0,01 
Total;85-89;202.174;310.612;512.786; 0,00 ;-0,00 
Total;90-94;44.674;82.392;127.066; 0,00 ;-0,00 
Total;95+;5.777;13.157;18.934; 0,00 ;-0,00 
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
